techniek,model_no,mean_fit_time,mean_test_score,parameters
Random Forest Classifier (RFC),1,4.155687618255615,0.5216022202616768,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 1, 'rfc__min_samples_split': 2}"
Random Forest Classifier (RFC),2,3.964033079147339,0.5252805014821499,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 1, 'rfc__min_samples_split': 10}"
Random Forest Classifier (RFC),3,3.218544912338257,0.5287585834426356,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 1, 'rfc__min_samples_split': 50}"
Random Forest Classifier (RFC),4,2.989889144897461,0.5285575790917905,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 10, 'rfc__min_samples_split': 2}"
Random Forest Classifier (RFC),5,3.012109470367432,0.529226721412845,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 10, 'rfc__min_samples_split': 10}"
Random Forest Classifier (RFC),6,2.726017189025879,0.5290260525165239,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 10, 'rfc__min_samples_split': 50}"
Random Forest Classifier (RFC),7,2.192618179321289,0.5288924521613894,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 50, 'rfc__min_samples_split': 2}"
Random Forest Classifier (RFC),8,2.0490758419036865,0.5299625520932921,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 50, 'rfc__min_samples_split': 10}"
Random Forest Classifier (RFC),9,2.1305190563201903,0.529360545404329,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 50, 'rfc__min_samples_split': 50}"
Random Forest Classifier (RFC),10,1.8528584003448487,0.5274877251598721,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 100, 'rfc__min_samples_split': 2}"
Random Forest Classifier (RFC),11,1.8237929344177246,0.5283572903772633,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 100, 'rfc__min_samples_split': 10}"
Random Forest Classifier (RFC),12,1.7768708705902099,0.5280227974894582,"{'rfc__criterion': 'gini', 'rfc__max_depth': None, 'rfc__min_samples_leaf': 100, 'rfc__min_samples_split': 50}"
